maxD_in,tOff_in,sdD_in,tOn_in
10,464,30.25,0.023357214690901212
10,464,30.25,0.04281332398719392
10,464,30.25,0.07847599703514607
10,464,30.25,0.14384498882876628
10,464,30.25,0.26366508987303583
10,464,30.25,0.4832930238571752
10,464,30.25,0.8858667904100823
10,464,30.25,1.623776739188721
10,464,30.25,2.9763514416313193
10,464,30.25,5.455594781168514
10,464,30.25,10.0
10,464,40.0,0.0001
10,464,40.0,0.00018329807108324357
10,464,40.0,0.0003359818286283781
10,464,40.0,0.0006158482110660267
10,464,40.0,0.0011288378916846883
10,464,40.0,0.00206913808111479
10,464,40.0,0.00379269019073225
10,464,40.0,0.0069519279617756054
10,464,40.0,0.012742749857031334
10,464,40.0,0.023357214690901212
10,464,40.0,0.04281332398719392
10,464,40.0,0.07847599703514607
10,464,40.0,0.14384498882876628
10,464,40.0,0.26366508987303583
10,464,40.0,0.4832930238571752
10,464,40.0,0.8858667904100823
10,464,40.0,1.623776739188721
10,464,40.0,2.9763514416313193
10,464,40.0,5.455594781168514
10,464,40.0,10.0
10,774,1.0,0.0001
10,774,1.0,0.00018329807108324357
10,774,1.0,0.0003359818286283781
10,774,1.0,0.0006158482110660267
10,774,1.0,0.0011288378916846883
10,774,1.0,0.00206913808111479
10,774,1.0,0.00379269019073225
10,774,1.0,0.0069519279617756054
10,774,1.0,0.012742749857031334
10,774,1.0,0.023357214690901212
10,774,1.0,0.04281332398719392
10,774,1.0,0.07847599703514607
10,774,1.0,0.14384498882876628
10,774,1.0,0.26366508987303583
10,774,1.0,0.4832930238571752
10,774,1.0,0.8858667904100823
10,774,1.0,1.623776739188721
10,774,1.0,2.9763514416313193
10,774,1.0,5.455594781168514
10,774,1.0,10.0
10,774,10.75,0.0001
10,774,10.75,0.00018329807108324357
10,774,10.75,0.0003359818286283781
10,774,10.75,0.0006158482110660267
10,774,10.75,0.0011288378916846883
10,774,10.75,0.00206913808111479
10,774,10.75,0.00379269019073225
10,774,10.75,0.0069519279617756054
10,774,10.75,0.012742749857031334
10,774,10.75,0.023357214690901212
10,774,10.75,0.04281332398719392
10,774,10.75,0.07847599703514607
10,774,10.75,0.14384498882876628
10,774,10.75,0.26366508987303583
10,774,10.75,0.4832930238571752
10,774,10.75,0.8858667904100823
10,774,10.75,1.623776739188721
10,774,10.75,2.9763514416313193
10,774,10.75,5.455594781168514
10,774,10.75,10.0
10,774,20.5,0.0001
10,774,20.5,0.00018329807108324357
10,774,20.5,0.0003359818286283781
10,774,20.5,0.0006158482110660267
10,774,20.5,0.0011288378916846883
10,774,20.5,0.00206913808111479
10,774,20.5,0.00379269019073225
10,774,20.5,0.0069519279617756054
10,774,20.5,0.012742749857031334
10,774,20.5,0.023357214690901212
10,774,20.5,0.04281332398719392
10,774,20.5,0.07847599703514607
10,774,20.5,0.14384498882876628
10,774,20.5,0.26366508987303583
10,774,20.5,0.4832930238571752
10,774,20.5,0.8858667904100823
10,774,20.5,1.623776739188721
10,774,20.5,2.9763514416313193
10,774,20.5,5.455594781168514
10,774,20.5,10.0
10,774,30.25,0.0001
10,774,30.25,0.00018329807108324357
10,774,30.25,0.0003359818286283781
10,774,30.25,0.0006158482110660267
10,774,30.25,0.0011288378916846883
10,774,30.25,0.00206913808111479
10,774,30.25,0.00379269019073225
10,774,30.25,0.0069519279617756054
10,774,30.25,0.012742749857031334
10,774,30.25,0.023357214690901212
10,774,30.25,0.04281332398719392
10,774,30.25,0.07847599703514607
10,774,30.25,0.14384498882876628
10,774,30.25,0.26366508987303583
10,774,30.25,0.4832930238571752
10,774,30.25,0.8858667904100823
10,774,30.25,1.623776739188721
10,774,30.25,2.9763514416313193
10,774,30.25,5.455594781168514
10,774,30.25,10.0
10,774,40.0,0.0001
10,774,40.0,0.00018329807108324357
10,774,40.0,0.0003359818286283781
10,774,40.0,0.0006158482110660267
10,774,40.0,0.0011288378916846883
10,774,40.0,0.00206913808111479
10,774,40.0,0.00379269019073225
10,774,40.0,0.0069519279617756054
10,774,40.0,0.012742749857031334
10,774,40.0,0.023357214690901212
10,774,40.0,0.04281332398719392
10,774,40.0,0.07847599703514607
10,774,40.0,0.14384498882876628
10,774,40.0,0.26366508987303583
10,774,40.0,0.4832930238571752
10,774,40.0,0.8858667904100823
10,774,40.0,1.623776739188721
10,774,40.0,2.9763514416313193
10,774,40.0,5.455594781168514
10,774,40.0,10.0
10,1291,1.0,0.0001
10,1291,1.0,0.00018329807108324357
10,1291,1.0,0.0003359818286283781
10,1291,1.0,0.0006158482110660267
10,1291,1.0,0.0011288378916846883
10,1291,1.0,0.00206913808111479
10,1291,1.0,0.00379269019073225
10,1291,1.0,0.0069519279617756054
10,1291,1.0,0.012742749857031334
10,1291,1.0,0.023357214690901212
10,1291,1.0,0.04281332398719392
10,1291,1.0,0.07847599703514607
10,1291,1.0,0.14384498882876628
10,1291,1.0,0.26366508987303583
10,1291,1.0,0.4832930238571752
10,1291,1.0,0.8858667904100823
10,1291,1.0,1.623776739188721
10,1291,1.0,2.9763514416313193
