maxD_in,tOff_in,sdD_in,constant_in
10,4000,40.0,0.006111111111111111
10,4000,40.0,0.006666666666666666
10,4000,40.0,0.007222222222222222
10,4000,40.0,0.0077777777777777776
10,4000,40.0,0.008333333333333333
10,4000,40.0,0.008888888888888889
10,4000,40.0,0.009444444444444445
10,4000,40.0,0.01
10,5000,1.0,0.005
10,5000,1.0,0.005555555555555556
10,5000,1.0,0.006111111111111111
10,5000,1.0,0.006666666666666666
10,5000,1.0,0.007222222222222222
10,5000,1.0,0.0077777777777777776
10,5000,1.0,0.008333333333333333
10,5000,1.0,0.008888888888888889
10,5000,1.0,0.009444444444444445
10,5000,1.0,0.01
10,5000,10.75,0.005
10,5000,10.75,0.005555555555555556
10,5000,10.75,0.006111111111111111
10,5000,10.75,0.006666666666666666
10,5000,10.75,0.007222222222222222
10,5000,10.75,0.0077777777777777776
10,5000,10.75,0.008333333333333333
10,5000,10.75,0.008888888888888889
10,5000,10.75,0.009444444444444445
10,5000,10.75,0.01
10,5000,20.5,0.005
10,5000,20.5,0.005555555555555556
10,5000,20.5,0.006111111111111111
10,5000,20.5,0.006666666666666666
10,5000,20.5,0.007222222222222222
10,5000,20.5,0.0077777777777777776
10,5000,20.5,0.008333333333333333
10,5000,20.5,0.008888888888888889
10,5000,20.5,0.009444444444444445
10,5000,20.5,0.01
10,5000,30.25,0.005
10,5000,30.25,0.005555555555555556
10,5000,30.25,0.006111111111111111
10,5000,30.25,0.006666666666666666
10,5000,30.25,0.007222222222222222
10,5000,30.25,0.0077777777777777776
10,5000,30.25,0.008333333333333333
10,5000,30.25,0.008888888888888889
10,5000,30.25,0.009444444444444445
10,5000,30.25,0.01
10,5000,40.0,0.005
10,5000,40.0,0.005555555555555556
10,5000,40.0,0.006111111111111111
10,5000,40.0,0.006666666666666666
10,5000,40.0,0.007222222222222222
10,5000,40.0,0.0077777777777777776
10,5000,40.0,0.008333333333333333
10,5000,40.0,0.008888888888888889
10,5000,40.0,0.009444444444444445
10,5000,40.0,0.01
10,6000,1.0,0.005
10,6000,1.0,0.005555555555555556
10,6000,1.0,0.006111111111111111
10,6000,1.0,0.006666666666666666
10,6000,1.0,0.007222222222222222
10,6000,1.0,0.0077777777777777776
10,6000,1.0,0.008333333333333333
10,6000,1.0,0.008888888888888889
10,6000,1.0,0.009444444444444445
10,6000,1.0,0.01
10,6000,10.75,0.005
10,6000,10.75,0.005555555555555556
10,6000,10.75,0.006111111111111111
10,6000,10.75,0.006666666666666666
10,6000,10.75,0.007222222222222222
10,6000,10.75,0.0077777777777777776
10,6000,10.75,0.008333333333333333
10,6000,10.75,0.008888888888888889
10,6000,10.75,0.009444444444444445
10,6000,10.75,0.01
10,6000,20.5,0.005
10,6000,20.5,0.005555555555555556
10,6000,20.5,0.006111111111111111
10,6000,20.5,0.006666666666666666
10,6000,20.5,0.007222222222222222
10,6000,20.5,0.0077777777777777776
10,6000,20.5,0.008333333333333333
10,6000,20.5,0.008888888888888889
10,6000,20.5,0.009444444444444445
10,6000,20.5,0.01
10,6000,30.25,0.005
10,6000,30.25,0.005555555555555556
10,6000,30.25,0.006111111111111111
10,6000,30.25,0.006666666666666666
10,6000,30.25,0.007222222222222222
10,6000,30.25,0.0077777777777777776
10,6000,30.25,0.008333333333333333
10,6000,30.25,0.008888888888888889
10,6000,30.25,0.009444444444444445
10,6000,30.25,0.01
10,6000,40.0,0.005
10,6000,40.0,0.005555555555555556
10,6000,40.0,0.006111111111111111
10,6000,40.0,0.006666666666666666
10,6000,40.0,0.007222222222222222
10,6000,40.0,0.0077777777777777776
10,6000,40.0,0.008333333333333333
10,6000,40.0,0.008888888888888889
10,6000,40.0,0.009444444444444445
10,6000,40.0,0.01
10,7000,1.0,0.005
10,7000,1.0,0.005555555555555556
10,7000,1.0,0.006111111111111111
10,7000,1.0,0.006666666666666666
10,7000,1.0,0.007222222222222222
10,7000,1.0,0.0077777777777777776
10,7000,1.0,0.008333333333333333
10,7000,1.0,0.008888888888888889
10,7000,1.0,0.009444444444444445
10,7000,1.0,0.01
10,7000,10.75,0.005
10,7000,10.75,0.005555555555555556
10,7000,10.75,0.006111111111111111
10,7000,10.75,0.006666666666666666
10,7000,10.75,0.007222222222222222
10,7000,10.75,0.0077777777777777776
10,7000,10.75,0.008333333333333333
10,7000,10.75,0.008888888888888889
10,7000,10.75,0.009444444444444445
10,7000,10.75,0.01
10,7000,20.5,0.005
10,7000,20.5,0.005555555555555556
10,7000,20.5,0.006111111111111111
10,7000,20.5,0.006666666666666666
10,7000,20.5,0.007222222222222222
10,7000,20.5,0.0077777777777777776
10,7000,20.5,0.008333333333333333
10,7000,20.5,0.008888888888888889
10,7000,20.5,0.009444444444444445
10,7000,20.5,0.01
10,7000,30.25,0.005
10,7000,30.25,0.005555555555555556
10,7000,30.25,0.006111111111111111
10,7000,30.25,0.006666666666666666
10,7000,30.25,0.007222222222222222
10,7000,30.25,0.0077777777777777776
10,7000,30.25,0.008333333333333333
10,7000,30.25,0.008888888888888889
10,7000,30.25,0.009444444444444445
10,7000,30.25,0.01
10,7000,40.0,0.005
10,7000,40.0,0.005555555555555556
10,7000,40.0,0.006111111111111111
10,7000,40.0,0.006666666666666666
10,7000,40.0,0.007222222222222222
10,7000,40.0,0.0077777777777777776
10,7000,40.0,0.008333333333333333
