percent_on,total_on,av_B,max_B,min_B,av_melt,tOff,av_vol
0.00382305228234073,653.0249654858472,299.9932430273671,299.9932430273671,299.9932430273671,0.024965485847261448,653.0,584547613.5770643
0.005943244671890016,848.0504017103146,231.78237613460152,231.78237613460152,231.78237613460152,0.050401710314590155,848.0,544292007.5828502
100.0,0.07475130199046741,214.5480598216285,214.5480598216285,214.5480598216285,0.07475130199046741,,1280465797.9075382
0.011530336016373797,890.1026318243399,159.11070664699142,159.11070664699142,159.11070664699142,0.10263182433993293,890.0,358530175.281161
0.01219912678754316,1979.2414501739383,152.85186642805743,187.28495400538625,118.41877885072863,0.12072508696916331,494.75,290084479.6282925
0.029167408998815442,1030.3005119642414,107.33577824656945,116.73204401264309,97.9395124804958,0.15025598212074986,515.0,166630654.26846555
0.012797474278182015,1418.1814914115814,154.28776088735867,154.28776088735867,154.28776088735867,0.1814914115813352,354.5,231236267.10217816
0.09965253784022313,407.40599040875543,114.59943375425132,134.56821854154322,94.63064896695943,0.2029952043777104,407.0,380483570.36163044
100.0,0.2300753081868556,142.49841461753587,142.49841461753587,142.49841461753587,0.2300753081868556,,1154716992.5376108
100.0,0.24266067743301103,121.0692134856828,121.0692134856828,121.0692134856828,0.24266067743301103,,746923314.1724946
100.0,0.800495576549406,77.26256526192437,95.21082939015263,49.06632340674097,0.266831858849802,,259050676.08480847
0.04775477575699781,1897.906340917183,87.01384059785447,125.77945220909115,45.80451837995874,0.30211363906094774,632.3333333333334,244235687.41268802
100.0,0.32978278266796496,135.54089557002993,135.54089557002993,135.54089557002993,0.32978278266796496,,1424342645.4662144
100.0,0.701723093436026,84.27453635865511,86.82703563265596,81.72203708465426,0.350861546718013,,365329148.11308724
100.0,0.3953046009014468,115.82822787942679,115.82822787942679,115.82822787942679,0.3953046009014468,,1065492878.593866
0.028916731753171762,2762.7989111500165,98.9663845307951,108.79350891536738,89.13926014622281,0.39945557500840023,460.3333333333333,172962326.79802322
100.0,0.443582028527558,117.02585441277141,117.02585441277141,117.02585441277141,0.443582028527558,,1233090214.0805743
100.0,0.45753262652584187,117.34684610706091,117.34684610706091,117.34684610706091,0.45753262652584187,,1282365367.6762388
0.1074005717452342,425.45694318951536,92.13082495770114,92.13082495770114,92.13082495770114,0.45694318951533575,425.0,309900687.4324436
100.0,0.5231900302932766,106.25199926943498,106.25199926943498,106.25199926943498,0.5231900302932766,,1088544626.1579945
0.05895071718452823,903.5326389706695,113.62454397607341,113.62454397607341,113.62454397607341,0.5326389706695039,903.0,677633470.7304009
0.06846230259458592,1584.08450072424,71.46030363513538,78.35668790109959,64.56391936917116,0.5422503621198824,395.75,117700674.74175435
0.05374900195104971,1014.545307977379,88.83901842601249,88.83901842601249,88.83901842601249,0.5453079773790448,507.0,221058539.9665273
100.0,1.203094113624213,76.08576997342315,99.21223333364723,52.95930661319907,0.6015470568121065,,601837440.0088927
100.0,0.6009479218513228,90.6257956936359,90.6257956936359,90.6257956936359,0.6009479218513228,,775832167.6787264
0.03508246722096939,1875.6580271125392,101.97430376398177,101.97430376398177,101.97430376398177,0.6580271125392377,625.0,302573918.6949821
0.036793345169536536,1902.7000670031935,97.14107368274162,97.14107368274162,97.14107368274162,0.7000670031934879,634.0,278268317.1206591
0.04199725782870327,1755.7373615465235,102.79837165114363,102.79837165114363,102.79837165114363,0.7373615465235656,585.0,347339877.5731668
0.052705665603031075,1360.7171750440818,91.98498608438639,91.98498608438639,91.98498608438639,0.7171750440817448,453.3333333333333,242042408.0805771
0.21783681507871436,340.742262091367,101.61882288118636,101.61882288118636,101.61882288118636,0.7422620913669994,170.0,450333186.3104045
0.08032637626633063,1955.5708391904427,74.00655261331369,95.24814400098703,52.76496122564035,0.7854195952213772,325.6666666666667,170272246.4848556
0.06721815249212466,1230.8273393979111,85.09506830080143,85.09506830080143,85.09506830080143,0.8273393979112488,615.0,294748138.8505485
100.0,0.8270707186901292,82.96380911165743,82.96380911165743,82.96380911165743,0.8270707186901292,,819189058.2248979
0.10956635328557651,786.8621361479624,95.97735486420744,95.97735486420744,95.97735486420744,0.8621361479623105,786.0,661039841.3978585
8.677453720109773,9.855178558443079,71.2373439002987,71.2373439002987,71.2373439002987,0.8551785584430796,9.0,268117653.20930937
0.11649622747171338,807.9412210427037,83.75862471301876,83.75862471301876,83.75862471301876,0.9412210427036467,807.0,479651373.41923904
100.0,0.9329641624194456,96.45578834473989,96.45578834473989,96.45578834473989,0.9329641624194456,,1452196190.3695803
0.064824149593424,2819.82792947528,58.1519553345224,68.40924484388533,47.894665825159464,0.9139647376401031,402.57142857142856,75391889.75245114
0.07714614226181439,1251.9658433505806,84.85975106584851,84.85975106584851,84.85975106584851,0.9658433505805633,417.0,255933661.46970862
100.0,0.9804105763463918,80.48478061365638,80.48478061365638,80.48478061365638,0.9804105763463918,,886593877.8273587
0.12105153077285054,825.9998855055865,77.84691606828761,77.84691606828761,77.84691606828761,0.9998855055865052,825.0,409091034.1944733
0.18706149846067568,1074.009057436444,68.71404951613476,85.85908072910527,51.569018303164256,1.0045287182219955,536.0,334131210.3618877
100.0,2.1292448286771766,70.24464294970433,76.67487657828387,63.814409321124785,1.0646224143385883,,652706406.1161606
0.07119661073445642,1592.1335451224936,87.7433580297179,87.7433580297179,87.7433580297179,1.1335451224935629,530.3333333333334,332045058.74226266
0.65827455856672,176.15961392091072,77.50110631179774,77.50110631179774,77.50110631179774,1.1596139209107132,175.0,468147358.6248286
