Mission,Parent,Daughter,Type,Description from source,Lith,high Ti?,Age,Mr/Ms,Hcr/Hc,TiO,K2O,MgO,FeO,Sm,Nd,Mg#,Sm/Nd,Pint,PintSD
12,12053,47,basalt,pigeonite basalt,2,0,3180,0.004103,9.5,3.5,0.08,7.6,19.77,5.68,16,0.28,0.36,0,20
14,14053,48,basalt,Al-rich basalt,2,0,3955,0.014545,4,2.91,0.14,8.97,17,6.6,22.5,0.35,0.29,0,20
14,14053,,basalt,Al-rich basalt,2,0,3955,0.008,7.071,2.91,0.14,8.97,17,6.6,22.5,0.35,0.29,0,20
14,14053,,basalt,,2,0,3955,0.008,6.666667,2.91,0.14,8.97,17,6.6,22.5,0.35,0.29,0,20
15,15016,225S2,basalt,olivine vesicular basalt,2,0,3289,0.006957,16,3,0.09,8.67,22.95,4,13,0.27,0.31,0,37
15,15016,a,basalt,basalt,2,0,3289,0.003384,27.5,3,0.09,8.67,22.95,4,13,0.27,0.31,0,37
15,15016,b,basalt,basalt,2,0,3289,0.004466,19.23077,3,0.09,8.67,22.95,4,13,0.27,0.31,0,37
15,15498,287b1,glass,"glassy matrix chip, no basalt clasts",2.1,0,3890,0.090805,7.840909,1.97,0.44,11,19.2,23.1,90,0.36,0.26,,
15,15498,287b2,glass,"glassy matrix chip, no basalt clasts",2.1,0,3890,0.079452,8.939394,1.97,0.44,11,19.2,23.1,90,0.36,0.26,,
15,15499,108,glass,pigeonite basalt; Fuller says vitrophyre,2.1,0,3400,0.010882,33.33333,1.81,0.06,9.93,20.47,,,0.33,,,
15,15555,,basalt,olivine basalt,2,0,3265,0.004,22.985,2.86,0.05,12.22,24.58,3.5,6.26,0.33,0.56,,
15,15555,,basalt,,2,0,3265,0.004,20.66667,2.86,0.05,12.22,24.58,3.5,6.26,0.33,0.56,,
15,15556,221d,basalt,olivine basalt,2,0,3270,0.0061,24.76923,2.76,0.05,11.65,22.25,3.6,9.6,0.34,0.38,0,75
15,15556,38-2,basalt,olivine basalt,2,0,3270,0.005,39.417,2.76,0.05,11.65,22.25,3.6,9.6,0.34,0.38,0,75
15,15556,38-2,basalt,olivine basalt,2,0,3270,0.005,25.411,2.76,0.05,11.65,22.25,3.6,9.6,0.34,0.38,0,75
15,15556,38-2,basalt,olivine basalt,2,0,3270,0.006306,41.5,2.76,0.05,11.65,22.25,3.6,9.6,0.34,0.38,0,75
15,15556,,basalt,,2,0,3270,0.005,24.66667,2.76,0.05,11.65,22.25,3.6,9.6,0.34,0.38,0,75
15,15597,20,glass,pigeonite basalt; Fuller says vitrophyre,2.1,0,3300,0.010435,9.166667,1.87,0.08,9.18,20.6,3.09,9.3,0.31,0.33,0,7
15,15597,82a,basalt,pigeonite basalt,2,0,3300,0.014551,12.09302,1.87,0.08,9.18,20.6,3.09,9.3,0.31,0.33,0,7
15,15597,82b,basalt,pigeonite basalt,2,0,3300,,,1.87,0.08,9.18,20.6,3.09,9.3,0.31,0.33,0,7
15,15597,,basalt,basalt,2,0,3300,0.006897,38.5,1.87,0.08,9.18,20.6,3.09,9.3,0.31,0.33,0,7
17,70017,,basalt,basalt,2,1,3768,0.005258,6.363636,13.75,0.048,7,18.77,7.8,22,0.27,0.35,42,126
17,70035,,basalt,basalt,2,1,3750,0.005549,8,13,0.084,7,18.5,13.6,36.5,0.27,0.37,0,20
17,70215,,basalt,ilmenite basalt,2,1,3760,0.006,23,13.2,0.07,11.95,19.96,7.53,20,0.37,0.38,,
17,70215,,basalt,,2,1,3760,0.006,24,13.2,0.07,11.95,19.96,7.53,20,0.37,0.38,,
17,71055,,basalt,,2,1,3750,,,14.51,0.06,10.44,21.07,7.05,33,0.33,0.21,0,20
17,71505,,basalt,basalt,2,1,3750,0.004605,33.80952,10.5,0.08,9.34,19.2,6.98,22,0.33,0.32,95,285
17,71567,,basalt,basalt,2,1,3750,0.003936,11,12.98,0.09,7.26,19.4,2.39,11.3,0.27,0.21,111,333
17,74275,,basalt,basalt,2,1,3753,0.006383,23.46154,13.1,0.1,10.8,19.1,9.76,22.8,0.36,0.43,28,84
17,75035,,basalt,,2,1,3753,,,9.98,0.07,8.83,19.22,10.9,,0.31,,51,14
17,75055,,basalt,basalt,2,1,3752,0.004798,30.58824,11.41,0.06,9.89,20.3,10.5,25.9,0.33,0.41,57,17
