Ti_age,Ti_ageplus,Ti_ageminus,Ti_content,Ti_content_SD
3440,30,60,3.01,0.39
3430,90,90,5.89,0.76
3430,60,110,2.54,0.53
3420,100,80,11.06,1.42
3400,90,140,4.03,0.59
3370,40,100,1.78,0.42
3300,50,140,7.9,0.85
3280,90,170,3.49,0.48
3230,120,200,4.61,0.54
3210,70,90,3.83,0.55
2990,120,160,7.53,1.42
2940,130,170,6.22,0.84
2900,150,180,3.52,0.55
2840,160,180,3.72,0.52
2440,170,170,3.65,0.54
1750,190,190,3.4,0.45
2030,350,350,5.03,0.72
2160,360,370,2.77,0.41
2910,190,270,6.02,0.83
3770,20,20,2.95,0.46
3770,10,10,1.62,0.3
2160,180,180,4.77,0.71
2200,190,190,3.93,0.64
3800,30,40,7.34,1.15
3760,20,70,9.58,1.03
3750,30,60,4.29,0.52
3750,40,30,10.37,1.3
3740,30,50,11.5,1.33
3710,50,100,10.33,1.17
3700,30,40,6.42,0.75
3700,40,60,10.44,1.39
3700,40,60,9.35,0.92
3690,20,80,11.56,1.12
3690,40,60,5.03,0.6
3680,30,40,14.07,1.67
3670,40,60,9.21,0.91
3660,60,80,7.24,0.92
3640,40,50,3.51,0.43
3640,40,70,9.07,1.25
3630,30,100,9.46,0.88
3620,20,40,10.32,1.27
3600,80,30,7.81,0.97
3580,50,100,10.78,1.05
3570,30,50,12.54,1.27
3540,60,70,12.13,1.92
3530,60,100,7.55,0.86
3500,90,50,9.54,1.14
3500,50,50,9.12,1.13
3460,70,100,10.56,1.22
3390,70,140,10.96,0.97
2390,280,270,4.9,0.7
1950,140,130,6.1,0.8
1470,180,160,10.6,1.2
1950,130,120,6.9,0.8
1820,340,290,9.1,0.8
2690,240,260,4.2,0.5
2610,270,290,4.4,0.6
2290,210,190,10.2,1
2340,160,150,12.1,1.4
1890,340,290,6.2,1.8
1580,160,130,8.2,0.9
2250,340,310,10.9,1.3
1630,130,120,10.4,1.2
1350,130,120,12.8,1.6
2060,160,150,9,1.1
