percent_on,total_on,av_B,max_B,min_B,av_melt,tOff,av_vol
0.019104629688594534,314.06,226.53726954127623,226.53726954127623,226.53726954127623,0.06,314.0,604944714.1344926
0.009607907496279806,729.070048375831,194.76574917114186,194.76574917114186,194.76574917114186,0.07004837583103227,729.0,448829380.50416565
0.006493629170697511,771.0500691322098,222.29936977498667,222.29936977498667,222.29936977498667,0.0500691322098525,771.0,477012994.21512854
0.0020584512239138226,2434.050103734151,204.24455950322346,256.8407859555565,151.6483330508904,0.02505186707549565,486.8,143528019.58418745
0.0011382018008907438,881.010027672001,327.4587581586491,327.4587581586491,327.4587581586491,0.010027672000990756,440.5,203574859.35561025
100.0,0.0903114176188783,152.70972213409905,152.70972213409905,152.70972213409905,0.0903114176188783,,557850937.0067421
100.0,0.09037383033143566,155.35934861205737,155.35934861205737,155.35934861205737,0.09037383033143566,,587800987.1849812
0.012738125203594125,1262.160775619869,159.63223339212882,161.72670616998158,157.53776061427607,0.0803878099345568,420.6666666666667,228108911.45371208
100.0,0.0100554205759454,360.09005732756845,360.09005732756845,360.09005732756845,0.0100554205759454,,814346204.508985
100.0,0.05031184854592274,202.34851782626492,202.34851782626492,202.34851782626492,0.05031184854592274,,723012496.7198389
0.035567993598813366,849.3020797093457,114.99759578450433,151.24505382295263,91.6418643112706,0.07551992733640221,849.0,199727645.6664949
100.0,0.020152564772543045,290.7506877386327,290.7506877386327,290.7506877386327,0.020152564772543045,,859148081.0034446
0.0029276860426758027,1722.0504162296838,250.321767104166,250.321767104166,250.321767104166,0.05041622968379702,861.0,457214930.7795131
100.0,0.04036085719856297,219.95663969358193,219.95663969358193,219.95663969358193,0.04036085719856297,,744984191.0433067
100.0,0.10097187478241296,221.1906318075084,236.06298665587107,206.31827695914572,0.05048593739120648,,845634078.0881946
100.0,0.09093748928300219,173.61313207454265,173.61313207454265,173.61313207454265,0.09093748928300219,,825403150.7171695
0.010509444563814646,962.1011114829591,198.58266554457106,198.58266554457106,198.58266554457106,0.10111148295914613,962.0,686704571.6191193
0.005042006204954351,602.0303544078249,230.86513906185922,230.86513906185922,230.86513906185922,0.030354407824951204,602.0,323923377.6189838
100.0,0.06075077049858882,215.947796363846,215.947796363846,215.947796363846,0.06075077049858882,,1061142153.4729376
100.0,0.0911891315123558,180.75267202911968,180.75267202911968,180.75267202911968,0.0911891315123558,,934055548.2047455
100.0,0.04055651146592334,270.37911948104255,270.37911948104255,270.37911948104255,0.04055651146592334,,1390450351.4349241
0.017901738553935367,170.0304384045453,228.47366070491606,228.47366070491606,228.47366070491606,0.030438404545291807,170.0,314829744.1192538
0.0068309188357141065,2378.162450346764,158.46499747681514,218.3794633994234,126.6792272714199,0.054150115588205754,594.5,188173713.1490194
100.0,0.06096098005740763,208.39106494951804,208.39106494951804,208.39106494951804,0.06096098005740763,,956895846.0697653
0.003751587982004469,1897.071170294035,217.10865756846846,301.7455335333684,132.4717816035685,0.03558514701741128,948.5,182621058.37315372
100.0,0.09156790110409574,174.3264861081847,174.3264861081847,174.3264861081847,0.09156790110409574,,841412258.1168996
0.0048227150397707405,2111.1018124246125,186.6962167712279,186.6962167712279,186.6962167712279,0.10181242461267448,527.75,229833205.78271514
100.0,0.12225934257492445,178.59598892159474,296.4181269595946,113.34447523782696,0.04075311419164148,,415096117.6664291
0.008268026395270217,1233.1019531949707,145.08297925013994,178.52986433369702,111.63609416658284,0.05097659748537639,616.5,232558603.5060573
0.11580171361661028,88.10202365312122,187.48236620780474,187.48236620780474,187.48236620780474,0.10202365312122569,88.0,583079267.3003896
0.030811382141095717,265.0816753279713,214.37866315598785,214.37866315598785,214.37866315598785,0.08167532797131988,265.0,697880419.1105759
100.0,0.010216471553317565,347.77651324427404,347.77651324427404,347.77651324427404,0.010216471553317565,,745378949.8417224
0.017292458040595576,532.0920117878758,204.01619933412886,204.01619933412886,204.01619933412886,0.09201178787577928,532.0,677614793.3434216
100.0,0.020461194596850172,300.7666784762106,300.7666784762106,300.7666784762106,0.020461194596850172,,965596296.8326225
100.0,0.15356501240057652,183.8864217753442,220.5926109854268,147.18023256526158,0.07678250620028826,,826598464.6464643
0.10349130495471165,89.0922026831697,188.00617127970867,188.00617127970867,188.00617127970867,0.09220268316970896,89.0,531380148.72627956
0.001478606388579766,2080.0307554676347,194.24340216734515,239.99448968499112,148.49231464969915,0.015377733817384208,297.14285714285717,61091159.47769398
100.0,0.09233016667454601,188.90966605779593,188.90966605779593,188.90966605779593,0.09233016667454601,,1079646564.4524133
0.0018801839099353095,546.0102659971678,404.9212733876196,404.9212733876196,404.9212733876196,0.010265997167873735,546.0,591096479.7397069
0.01859037469830819,221.04109236730832,228.0177377047573,228.0177377047573,228.0177377047573,0.04109236730831612,221.0,422486182.5341958
0.009530394903992025,755.071961339725,203.25129330789392,203.25129330789392,203.25129330789392,0.07196133972499379,377.5,349344077.7445044
100.0,0.03086188757363851,262.05586884568737,262.05586884568737,262.05586884568737,0.03086188757363851,,963340019.9994352
100.0,0.08235524189003027,215.50192526498236,215.50192526498236,215.50192526498236,0.08235524189003027,,1429618492.024454
100.0,0.09271367575020661,160.7384300536607,160.7384300536607,160.7384300536607,0.09271367575020661,,667849204.3242692
100.0,0.041234554943663085,265.0762218517948,265.0762218517948,265.0762218517948,0.041234554943663085,,1332137561.224229
0.005106552516905187,606.030947288592,219.08462185113692,219.08462185113692,219.08462185113692,0.030947288591989943,303.0,188153577.25986195
